Bill Run Date,Service Id,Customer Id,Site ID,Own By,RCA Category,RCA  Sub Category,ABP Analysis,OSO Analysis - Rebill,Review Comment,Patch Details - All,Next Action,Lession Learnt,Previous ReviewComments
15-Aug-25,EQP_155_2179730,130397515,OSite_635684_1, ,User Education,Re-Establishment,NB call came on 21-JUL-25 00:00:00 to activate the EQP_155_2179730 subscriber wi th the date of 13-JUN-25 00:00:00,"""RCA: Working As Designed/User Education

This is the case of Re-establishment where previous subscriber were getting cease with the date of 13th June an hence Re-establishment flow activation date has been picked the same.
Here this delay is due to User GT- """"Service Assign CCS"""" in previous disconnect flow which user didn't completed and then placed restore order on 19th July.""",8/8 Saurabh - Discussed,,,,
15-Aug-25,UNI_455_3294379 EVCE_455_3294521 SACM_455_3295888 EQP_455_3301978,130822353,OSite_801974_1, ,Interface,SNP Fallout,NB call came on 21-JUL-25 00:00:00 to cease the UNI_455_3294379 subscriber with the date of 12-JUN-25 18:59:59 NB call came on 21-JUL-25 00:00:00 to cease the E VCE_455_3294521 subscriber with the date of 12-JUN-25 18:59:59 NB call came on 2 1-JUL-25 00:00:00 to cease the SACM_455_3295888 subscriber with the date of 12-J UN-25 18:59:59 NB call came on 21-JUL-25 00:00:00 to cease the EQP_455_3301978 s ubscriber with the date of 12-JUN-25 18:59:59,SInterface: SNP fallout on Uni Interface turn Down delayed NB Call.Please check with SNP for more details, ,,,,
15-Aug-25,EQP_115_1813492,130326446,OSite_575417_1, ,User Education,User Input,NB call came on 21-JUL-25 00:00:00 to activate the EQP_115_1813492 subscriber wi th the date of 24-MAY-25 00:00:00,"Here PRI  PTD was set for 18th july and this DOCSIS EQP was dependent on PRI. Need to check more

8/12: PRI NB and PONR was released in may only, but after few minutes when order went to reease the dependency of docsis PONR it got amended via some external amend and order went on hold..then in forward plan activity  create service inventory falout got created in JUNE which got fixed in JULY hence the delay","

8/12: The subscriber is 'RE' subscriber with only SAC and EQP active on this site. Need to check where the other services are , for this site.
8/12 Saurabh - There is nothing chargeable on this customer as PRI already expired
select * from bl1_rc_rates a where a.receiver_customer='130326446'
Dale checked there is PRI provide order signed today 8/12

@sonalika to check with CPM what is going on with this customer as there is no active service but customer is getting latefees due to SAC, EQP being active
<sonalika> Reached CPM Kevin Elwardt, awaiting response

8/13 Saurabh - Remove the rebill entry.

Biswajit to open new case  for Sonalika's team to follow up with CPM
8/14 - CAS2845616

8/14- Patched, removed rebill entry, no financial impact",,,,
15-Aug-25,UNI_455_3294031 EVCE_455_3294531,130822366,OSite_801344_1, , , ,NB call came on 22-JUL-25 00:00:00 to activate the UNI_455_3294031 subscriber wi th the date of 25-APR-25 00:00:00 NB call came on 22-JUL-25 00:00:00 to activate the EVCE_455_3294531 subscriber with the date of 25-APR-25 00:00:00,"""RCA: Working As Designed/User Education

This is the case of Re-establishment where previous subscriber were getting cease with the date of 25th April  and hence Re-establishment flow activation date has been picked the same.
Here this delay is due to User GT- """"Service Assign CCS"""" in previous disconnect flow which user didn't completed and then placed restore orde.""", ,,,,
15-Aug-25,BI4533820 BV4533819 INS4533821 SAC4533721,131271750,OSite_975365_1, , , ,NB call came on 22-JUL-25 00:00:00 to activate the BI4533820 subscriber with the date of 09-JUL-25 07:45:49 NB call came on 22-JUL-25 00:00:00 to activate the B V4533819 subscriber with the date of 09-JUL-25 07:45:49 NB call came on 22-JUL-2 5 00:00:00 to activate the INS4533821 subscriber with the date of 09-JUL-25 07:4 5:49 NB call came on 22-JUL-25 00:00:00 to activate the SAC4533721 subscriber wi th the date of 09-JUL-25 07:45:49,User Education: User delayed the GT- Verify Service Available for provide BE, ,,,,
15-Aug-25,EQP_535_4215980 EQP_535_4229353 SACM_535_4224959 BVE_535_4218920,131221395,OSite_930863_1, , , ,"NB call came on 23-JUL-25 00:00:00 to cease the EQP_535_4215980 subscriber with the date of 23-JUL-25 13:51:53
NB call came on 23-JUL-25 00:00:00 to cease the EQP_535_4229353 subscriber with the date of 23-MAY-25 18:59:59
NB call came on 23 -JUL-25 00:00:00 to cease the SACM_535_4224959 subscriber with the date of 23-JU L-25 13:52:02
 NB call came on 23-JUL-25 00:00:00 to cease the BVE_535_4218920 su bscriber with the date of 23-MAY-25 18:59:59","""BVE_535_4218920 and its Equipment EQP_535_4229353 got delayed from 24th may to 23rd July as order was stuck at """"Hotcut Hard Disconnect Wait"""". Latest PTD was not picked in disconnect order.Please open a new SR for this.This seems to be defect.

EQP_535_4215980 and SACM_535_4224959 : Billing date of DOCSIS and SAC  is correct since it's dependent only on its underlay service (COAX),
the other service is not related COAX.Reference WAD Defect: 1584004""

8/12: New PTD was not picked because no UD amend was done for rework PTD.. and cease order was stuck because of move order in provide at task ""Start Advanced Voice Product Design with Customer"" from may to july. and docsis and other are depndent on underlay.. so dates are correct ","8/8 Saurabh - Biswa to open new case for OSO and Abhishek A. to check whether this is an existing defect or need to open a new one.
8/8 - Biswajit - CAS2832054
8/11: Need to check the latest on the ticket, whether or not it’s a defect",,,,
15-Aug-25,EQP4391588 SAC4391583 EQP4391589 BVE4391591,131221395,OSite_953339_1, , , ,"NB call came on 23-JUL-25 00:00:00 to activate the EQP4391588 subscriber with the date of 23-JUL-25 13:46:44
NB call came on 23-JUL-25 00:00:00 to activate the SAC4391583 subscriber with the date of 23-JUL-25 13:46:51
NB call came on 23-JUL -25 00:00:00 to activate the EQP4391589 subscriber with the date of 23-JUL-25 14 :25:12
NB call came on 23-JUL-25 00:00:00 to activate the BVE4391591 subscriber with the date of 23-JUL-25 14:25:12",Seems no delay here.We should be good with this record.,"8/8 Saurabh - Billing team to check why this is even a rebill entry as the dates are mentioned as same, even OSO mentioned RCA as no issues/dealys",,,,
15-Aug-25,EQP2489502,130374639,OSite_618096_1, , , ,NB call came on 24-JUL-25 00:00:00 to cease the EQP2489502 subscriber with the d ate of 28-FEB-25 17:59:59,"""
RCA; User Education
This is old order from 2022 where MR task has been delayed for so long. Order reached PONR and MR service got ceased in march.
Later User delayed another MR task - """"Mark MR Service Disconnected in NMS and CLIPS"""" which delayed the NB call here.""",8/8 Saurabh - Discussed,,,,
15-Aug-25,EQP3568047 BVE3568048,130958712,OSite_845240_1, , , ,"NB call came on 24-JUL-25 00:00:00 to activate the EQP3568047 subscriber with th e date of 08-NOV-24 12:17:46
 NB call came on 24-JUL-25 00:00:00 to activate the BVE3568048 subscriber with the date of 08-NOV-24 12:17:46",Here NB call was triggered on time back in Nov 2024 but SQO didn't processed and now SQO don’t have old logs to check further.This was later retried by user and then NB processed with new request.,"8/8 Saurabh - Approved to Patch, limit charges to last 90 days.
Biswa to open new case as patching is required
8/8 - Biswajit - CAS2832098",,,,
15-Aug-25, EVCE3342550 UNI3342548,130291712,OSite_541288_1, , , ,"NB call came on 29-JUL-25 00:00:00 to activate the EVCE3342550 subscriber with the date of 0 4-APR-25 15:10:11
NB call came on 29-JUL-25 00:00:00 to activate the UNI3342548 subscriber with the date of 04-APR-25 15:10:11","Shared EQP scenario and on EQP user delayed task ""Confirm Technician Switch/CM/NID Pickup (SWAP)"" from February to july 2025","8/12: Need to patch the effective dates to 5/15(90 days). Need a case to track the patch
CAS2840055 raised.",,,,
15-Aug-25,EQP4361578 BVE4361579,131237492,OSite_950901_1, ,Interface,DCP Callback,"NB call came on 01-AUG-25 00:00:00 to activate the EQP4361578 subscriber with th e date of 09-JUL-25 08:52:43
NB call came on 01-AUG-25 00:00:00 to activate the BVE4361579 subscriber with the date of 09-JUL-25 08:52:43","Interface: NB call was delayed due to DCP activity- Update DA/DL in Neustar"" whch was reworked by User on 1st Aug.please note ""SLA Breach"" GT was opened to point out DCP callback delay to user.","8/8 Saurabh - Joe would like to discuss this in more details, who is the user, what does rework mean here , OSO team please provide more details",,,,
15-Aug-25,EQP4363461,131242545,OSite_954555_1, , , ,NB call came on 04-AUG-25 00:00:00 to activate the EQP4363461 subscriber with th e date of 13-MAY-25 17:27:57,User Education: User delayed the GT- Capture Equipment Details,708896916,,,,
15-Aug-25,UNI3727443 EVCE3727445,130951227,OSite_840169_1, , , ,NB call came on 05-AUG-25 00:00:00 to activate the UNI3727443 subscriber with th e date of 28-APR-25 14:03:43 NB call came on 05-AUG-25 00:00:00 to activate the EVCE3727445 subscriber with the date of 28-APR-25 14:03:43,"User Delay on task till 5th may + Stuck on Service Completion Sync Point- EPL
8/12: EPL : Service Sync complettion stuck , other leg was alreqady completed. Need a ticket for deep dive","8/11: Case would be opened to patch the effective date going back 90 days
8/11 - CAS2836091 raised for patching.
8/12 Saurabh - Anargha to check why there was user delay. Case is already opened for the same.
8/13 [Anargha] - Have reached out to the user, awaiting response
8/13 [Anargha] - The order was stuck and user was not aware

8/13 Saurabh - CAS2836091 completed for patching and RCA is also provided above",,,,
15-Aug-25, , , , , , ,"8/12 Saurabh - There are total of 7 customers for cycle 115 then we should take care of before 8/15
BILL_CYCLE COUNT(*)
101 26
115 7

8/14 Saurabh - Below customers for 115 will be patched (or no patch needed)

416907   130293796?– No Patch needed , Protected unit price is 34.95 and quantity is 138 ,  hence total price : 4823.10
608105   130369855?– Patch needed (correct unit price to 29.95 for subscriber 608105/offer instance 19106772)
874701   130503164?-  Patch needed (correct quantity to 1 and protected price to 29.95 for subscriber 874701/offer instance 25655541)
905460   130676994?- Patch needed (correct protected price to 0 for subscriber 905460/offer instance 29857683)
1132926  130825068   - Patch needed (correct protected price to 0 for subscriber 1132926/offer instance 32694555)
1133249  130825420?- No Patch needed , Protected unit price is 9.95 and quantity is 10 ,  hence total price : 99.50
1726695  131231471 – No Patch needed, Billing has correct promo price -1755.6 (qty 88*unitprice 19.95)", , ,,,,
15-Aug-25, , , , , , , , , ,,,,
15-Aug-25, , , , , , ,8/14 Saurabh -No patching required for Asterisk type as fix is already deployed and no more new imapcts, , ,,,,
15-Aug-25, , , , , , ,"8/14 Saurabh - Patched
EVCE should still be charged at $192 (prorated)
UNI should still be charged at $208 (prorated)
Both got disconnected on 8/4/25 (Patch details in patch section)", ,708800354,,,,
15-Aug-25, , , , , , , , , ,,,,
1-Aug-25,EQP4413751 BVE4413752,131252064,OSite_961670_1, , , ,"NB call came on 02-JUL-25 00:00:00 to activate the EQP4413751 subscriber with the date of 28-MAY-25 12:52:02
NB call came on 02-JUL-25 00:00:00 to activate the BVE4413752 subscriber with the date of 28-MAY-25 12:52:02","User Education : Here NB call has been delayed due to User task dealy  - ""DOI Call Flow Design GT"" ",Discussed,,,,
1-Aug-25,UNI_151_2248100 EVCE_151_2238386 SACM_151_2241510 EQP_151_2241588,130407089,OSite_643118_1, , , ,"NB call came on 04-JUL-25 00:00:00 to cease the UNI_151_2248100 subscriber with the date of 24-JUN-25 18:59:59
NB call came on 04-JUL-25 00:00:00 to cease the EVCE_151_2238386 subscriber with the date of 24-JUN-25 18:59:59",This is working as designed. Here We have 10 days delay which was due to mandatory wait rule of Registered timed Action. got captured in Rebill due to cycle change.,Discussed,,,,
1-Aug-25,EQP4480718 BVE4480717,131262829,OSite_968993_1, ,Interface,DCP Fallout,"NB call came on 08-JUL-25 00:00:00 to activate the EQP4480718 subscriber with the date of 30-JUN-25 13:22:05
NB call came on 08-JUL-25 00:00:00 to activate the BVE4480717 subscriber with the date of 30-JUN-25 13:22:05",Interface: DCP Fallout on CNAM Provisioning in Neustar ,Discussed,,,,
1-Aug-25,BVE4451203 EQP4451201,131257771,OSite_965543_1, , , ,"NB call came on 02-JUL-25 00:00:00 to activate the BVE4451203 subscriber with the date of 24-JUN-25 15:53:22
NB call came on 02-JUL-25 00:00:00 to activate the EQP4451201 subscriber with the date of 24-JUN-25 15:53:22","User Education/This is working as designed. We had Eight day delay on User GT : ""DOI Call flow Design"" . Got captured in Rebill due to cycle change.",Discussed,,,,
1-Aug-25,EQP4445486 BVE4445489,131251729,OSite_961335_1, , , ,"NB call came on 07-JUL-25 00:00:00 to activate the EQP4445486 subscriber with the date of 27-JUN-25 12:30:29
NB call came on 07-JUL-25 00:00:00 to activate the BVE4445489 subscriber with the date of 27-JUN-25 12:30:29","User Education/This is working as designed. We had ten days delay on User GT : ""DOI Call flow Design"" . Got captured in Rebill due to cycle change.",Discussed,,,,
1-Aug-25,BVE4396910 EQP4396909,131249628,OSite_959886_1, , , ,"NB call came on 03-JUL-25 00:00:00 to activate the BVE4396910 subscriber with the date of 24-JUN-25 08:49:35
NB call came on 03-JUL-25 00:00:00 to activate the EQP4396909 subscriber with the date of 24-JUN-25 08:49:35","User Education+Interface issue . We had ten days delay on User GT : ""DOI Call flow Design""  and then CLIPS fallout on ""Commit CLIPS Inventory with TNs"" for 2 days. Got captured in Rebill due to cycle change.",Discussed,,,,
1-Aug-25,BI3664025 SAC3664018,130439488,OSite_858853_1, , , ,"NB call came on 15-JUL-25 00:00:00 to cease the BI3664025 subscriber with the date of 07-JUL-25 18:59:59
NB call came on 15-JUL-25 00:00:00 to cease the SAC3664018 subscriber with the date of 07-JUL-25 18:59:59","This is working as designed. Here We have 8 days delay which was due to mandatory wait rule of Registered timed Action. got captured in Rebill due to cycle change.Also, Here expected NB delay should be for 10 days but looks like User was not ready to wait and hence release the flag early.",7/28 Saurabh - Discussed,,,,
1-Aug-25,BVE3168253,130689162,OSite_762057_1, , , ,NB call came on 18-JUL-25 00:00:00 to activate the BVE3168253 subscriber with the date of 17-JUN-25 18:51:20,"Interface: Order was stuck on CLIPS activity "" COMMIT CLIPS in Inventory with TNs"" awaiting CLIPS callback which was later handled under CAS2771115. For more details kindly check with CLIPS team.","[7/24 Abhishek]: Sonalika to check the case which is provided by OSO
7/28- INC008198997/INC008206472/INC008254206

[7/28 Abhishek]: To open new SR/case by Sumantha


07/28 CAS2796921 raised.
7/29 Deepthi: CLIPS Analysis
Business VoiceEdge Service (Provide) - 772492 - CLEAN AND DRY LAUNDROMAT - IFrameworkAgreement_761775 - CD Verona - OSite_950127_1 - BVE4313669 - PR
Commit CLIPS Inventory with TN Design-plan
It was handled under CAS2720366 with RCA : Defect 2902015
7/29 Saurabh - Marked as Discussed",,,,
1-Aug-25,BVE4436865,130943671,OSite_964219_1, ,Interface,DCP Fallout,NB call came on 14-JUL-25 00:00:00 to activate the BVE4436865 subscriber with the date of 24-JUN-25 11:42:35,Interface: here NB call got delayed due to DCP fallout on update DA/DL: CAS2738587,"[7/24 Abhishek]: Sonalika to check the case which is provided by OSO
7/28- CAS2738587 was identified as a user Error",,,,
1-Aug-25,EVCE3996602 UNI3996604 EQP3996608 SAC3996580,130948181,OSite_837996_1, , , ,"NB call came on 17-JUL-25 00:00:00 to activate the EVCE3996602 subscriber with the date of 30-MAY-25 09:51:29
NB call came on 17-JUL-25 00:00:00 to activate the UNI3996604 subscriber with the date of 30-MAY-25 09:51:29
NB call came on 17-JUL-25 00:00:00 to activate the EQP3996608 subscriber with the date of 30-MAY-25 09:51:29
NB call came on 17-JUL-25 00:00:00 to activate the SAC3996580 subscriber with the date of 30-MAY-25 09:51:29","User Education: User task Delay on ""Capture Switch CM/NID"" ","7/24 Saurabh - Sonalika/Deepthi to check with user why there was a delay on the task
7/24 Deepthi: Reached out to user, waiting on their response.
7/28 Deepthi: CPM doesn't have the task under that Osite, so would not know why there was a delay.

[7/28 Abhishek]: Deepthi is going to reachout to user again.

[7/29 Abhishek]: No updates, deepthi still checking with the user.
7/29-  Frontline OSO team worked as part of CAS2765599/CAS2767825
7/29 Saurabh - Discussed",,,,
1-Aug-25,BVE4396755 EQP4396752,131249206,OSite_959484_1, , , ,"NB call came on 03-JUL-25 00:00:00 to activate the BVE4396755 subscriber with the date of 26-JUN-25 13:33:54
NB call came on 03-JUL-25 00:00:00 to activate the EQP4396752 subscriber with the date of 26-JUN-25 13:33:54","User Education : Here NB call has been delayed due to User task dealy  - ""DOI Call Flow Design GT"" ",7/24 Saurabh - Discussed,,,,
1-Aug-25,EQP4532494 BVE4532495,131271630,OSite_975219_1, , , ,"NB call came on 15-JUL-25 00:00:00 to activate the EQP4532494 subscriber with the date of 14-JUL-25 08:36:41
NB call came on 15-JUL-25 00:00:00 to activate the BVE4532495 subscriber with the date of 14-JUL-25 08:36:41","""This is working as designed.One day delay is acceptable.Captured due to Cycle change.",7/24 Saurabh - Discussed,,,,
1-Aug-25,BVE4509955 EQP4509956,131267863,OSite_972657_1, ,Interface,DCP Fallout,"NB call came on 16-JUL-25 00:00:00 to activate the BVE4509955 subscriber with the date of 10-JUL-25 16:28:56
NB call came on 16-JUL-25 00:00:00 to activate the EQP4509956 subscriber with the date of 10-JUL-25 16:28:56",Interface: here NB call got delayed due to DCP fallout on update DA/DL,7/24 Saurabh - Discussed,,,,
1-Aug-25,EQP4426051 BVE4426052,131254466,OSite_963027_1, , , ,"NB call came on 06-JUL-25 00:00:00 to cease the EQP4426051 subscriber with the date of 26-JUN-25 18:59:59
NB call came on 06-JUL-25 00:00:00 to cease the BVE4426052 subscriber with the date of 26-JUN-25 18:59:59",This is working as designed. Here We have 10 days delay which was due to mandatory wait rule of Registered timed Action. got captured in Rebill due to cycle change.,7/24 Saurabh - Discussed,,,,
1-Aug-25,BVE4533238 EQP4533237,131271721,OSite_975235_1, , , ,"NB call came on 15-JUL-25 00:00:00 to activate the BVE4533238 subscriber with the date of 14-JUL-25 10:52:36
NB call came on 15-JUL-25 00:00:00 to activate the EQP4533237 subscriber with the date of 14-JUL-25 10:52:36","""This is working as designed.One day delay is acceptable.Captured due to Cycle change.",7/24 Saurabh - Discussed,,,,
1-Aug-25,EQP4445801 BVE4445802,131251441,OSite_961105_1, , , ,"NB call came on 08-JUL-25 00:00:00 to activate the EQP4445801 subscriber with the date of 30-JUN-25 12:43:43
NB call came on 08-JUL-25 00:00:00 to activate the BVE4445802 subscriber with the date of 30-JUN-25 12:43:43","User Education : Here NB call has been delayed due to User task dealy  - ""DOI Call Flow Design GT"" ",7/24 Saurabh - Discussed,,,,
1-Aug-25,EQP_411_3815751 EQP_411_3801012 SACM_411_3820306 BVE_411_3783776,131150762,OSite_902325_1, , , ,"NB call came on 03-JUL-25 00:00:00 to cease the EQP_411_3815751 subscriber with the date of 03-JUL-25 11:24:24
NB call came on 03-JUL-25 00:00:00 to cease the EQP_411_3801012 subscriber with the date of 30-MAY-25 18:59:59
NB call came on 03-JUL-25 00:00:00 to cease the SACM_411_3820306 subscriber with the date of 03-JUL-25 11:24:28
NB call came on 03-JUL-25 00:00:00 to cease the BVE_411_3783776 subscriber with the date of 30-MAY-25 18:59:59","EQP_411_3801012,BVE_411_3783776 - Here NB call has been delayed due to Delayed Hotcut Disconnect Wait .On the other gaining site User had placed inflight change and then had aligned PTD as 3rd July. Please confirm cease date with user/TTU. If it varies with the current system date then this can be a defect scenario as we can see some gap here related to billing date alignment post Amend.Please get the update early in order to losse track of this issue. For other two products:-
Billing date of DOCSIS and SAC  is correct since it's dependent only on its underlay service (COAX), the other service is not related COAX.
Reference Defect: 1584004","7/24 Saurabh - Sonalika/Deepthi to check with user on 2 services mentioned below if disconnect dates of old site 30-MAY-25 is correct  as the new site services are effective from 7/3
EQP_411_3801012
BVE_411_3783776
7/24 Deepthi: Reached out to user, waiting on their response.
7/25 Deepthi: The customer havent been in the location at 1244 ALLANSON RD MUNDELEIN, IL 60060 in almost 2 years.

[7/28 Abhishek]: Old Site: 1244 ALLANSON RD_RETRACTABLES,BHS
New Site:1505 Reidel Road

[7/28 Abhishek]: Dale is going to check with TTU team about the usage

7/28 Saurabh -Approved to Patch from 7/3

[8/1 Abhishek]: Patched, dates are changed from 5/30->7/3",,,,
1-Aug-25,EQP4321893 SAC4321861 BVE4321895 EQP4321894,131150762,OSite_951014_1, , , ,"NB call came on 03-JUL-25 00:00:00 to activate the EQP4321893 subscriber with the date of 31-MAY-25
NB call came on 03-JUL-25 00:00:00 to activate the SAC4321861 subscriber with the date of 31-MAY-25
NB call came on 03-JUL-25 00:00:00 to activate the BVE4321895 subscriber with the date of 31-MAY-25
NB call came on 03-JUL-25 00:00:00 to activate the EQP4321894 subscriber with the date of 31-MAY-25
NB call came on 03-JUL-25 00:00:00 to cease below 2 services with backdate date of 5/31
EQP_411_3801012
BVE_411_3783776
Below 2 services were disconnected from same date 7/3/25
EQP_411_3815751
SACM_411_3820306",This is the other site of above record OSite_902325_1 and we  can't see any issue/delay here.,7/29 Saurabh - Rejected this entry as its covered under #1818,,,,
